<protection , {input\big2.txt : 1}>
<protests , {input\big2.txt : 1}>
<proudly , {input\big2.txt : 1}>
<provisions , {input\big2.txt : 1}>
<pull , {input\big2.txt : 1}>
<quarters , {input\big2.txt : 2}>
<question , {input\big2.txt : 1}>
<questioned , {input\big2.txt : 1}>
<questioning , {input\big2.txt : 1}>
<questions , {input\big2.txt : 1}>
<quickly , {input\big2.txt : 1}>
<quite , {input\big2.txt : 2}>
<race , {input\big2.txt : 1}>
<raced , {input\big2.txt : 1}>
<radiant , {input\big2.txt : 1}>
<raising , {input\big2.txt : 1}>
<rameau , {input\big2.txt : 2}>
<ran , {input\big2.txt : 2}>
<rapidly , {input\big2.txt : 1}>
<rations , {input\big2.txt : 1}>
<reached , {input\big2.txt : 1}>
<reaching , {input\big2.txt : 1}>
<reading , {input\big2.txt : 1}>
<ready , {input\big2.txt : 2}>
<rearguard , {input\big2.txt : 1}>
<recalled , {input\big2.txt : 2}>
<recognized , {input\big2.txt : 1}>
<refrain , {input\big2.txt : 1}>
<refrained , {input\big2.txt : 1}>
<refuse , {input\big2.txt : 1}>
<regarding , {input\big2.txt : 1}>
<regiment , {input\big2.txt : 1}>
<reigned , {input\big2.txt : 1}>
<rein , {input\big2.txt : 1}>
<relieved , {input\big2.txt : 1}>
<remain , {input\big2.txt : 1}>
<remained , {input\big2.txt : 4}>
<remarked , {input\big2.txt : 1}>
<remember , {input\big2.txt : 3}>
<reminded , {input\big2.txt : 1}>
<repeated , {input\big2.txt : 3}>
<repelling , {input\big2.txt : 1}>
<replied , {input\big2.txt : 6}>
<replied: , {input\big2.txt : 1}>
<reply , {input\big2.txt : 1}>
<report , {input\big2.txt : 1}>
<representative , {input\big2.txt : 1}>
<represented , {input\big2.txt : 1}>
<resolutely , {input\big2.txt : 1}>
<resolve , {input\big2.txt : 1}>
<respectfully , {input\big2.txt : 1}>
<return , {input\big2.txt : 1}>
<returned , {input\big2.txt : 1}>
<returns , {input\big2.txt : 1}>
<rich , {input\big2.txt : 2}>
<ride , {input\big2.txt : 2}>
<rioting , {input\big2.txt : 1}>
<rise , {input\big2.txt : 1}>
<road , {input\big2.txt : 2}>
<roared , {input\big2.txt : 1}>
<rode , {input\big2.txt : 2}>
<romantic , {input\big2.txt : 1}>
<room , {input\big2.txt : 8}>
<rose , {input\big2.txt : 3}>
<rostov , {input\big2.txt : 20}>
<round , {input\big2.txt : 1}>
<rude , {input\big2.txt : 1}>
<ruin , {input\big2.txt : 2}>
<ruined , {input\big2.txt : 3}>
<running , {input\big2.txt : 2}>
<rush , {input\big2.txt : 1}>
<russian , {input\big2.txt : 2}>
<russians , {input\big2.txt : 2}>
<sad , {input\big2.txt : 2}>
<safe , {input\big2.txt : 1}>
<said , {input\big2.txt : 38}>
<said: , {input\big2.txt : 1}>
<sake , {input\big2.txt : 5}>
<same , {input\big2.txt : 2}>
<sang , {input\big2.txt : 1}>
<sat , {input\big2.txt : 1}>
<saw , {input\big2.txt : 3}>
<say , {input\big2.txt : 5}>
<saying , {input\big2.txt : 2}>
<says , {input\big2.txt : 1}>
<scanning , {input\big2.txt : 1}>
<scanty , {input\big2.txt : 1}>
